Designator,Mid X,Mid Y,Layer,Rotation
C1,-31.24,6.6,TOP,0
C2,-24.13,-8.89,TOP,270
C3,-24.13,-4.83,TOP,90
C4,-23.88,6.1,TOP,270
C5,-26.16,6.1,TOP,270
D1,-26.92,-6.86,TOP,270
L1,-29.24,1.27,TOP,90
R1,-25.15,10.16,TOP,0
U1,-31.24,-6.6,TOP,180
U2,-24.89,13.72,TOP,0
X3,0,0,TOP,90
